exp	acc	target	biosample	synonyms	biorep	techrep	read	read_length	run_type	read_count	url	md5sum	controls	qc_flags
ENCSR423ZUM	ENCFF393RDJ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6342919	https://encode-public.s3.amazonaws.com/2021/01/28/444bd888-0f26-46a6-a8d3-2ca26b9b321d/ENCFF393RDJ.fastq.gz	db8587856f957d1b9dc73886ac7aad12	ENCSR613JAK	missing controlled_by
ENCSR423ZUM	ENCFF941IAT	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6322057	https://encode-public.s3.amazonaws.com/2021/01/28/8639ee58-37ab-41ac-879c-432cd6a9bca2/ENCFF941IAT.fastq.gz	6861e8ac512d25e0fc639501204dd20b	ENCSR613JAK	missing controlled_by
ENCSR423ZUM	ENCFF020BZY	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6347407	https://encode-public.s3.amazonaws.com/2021/01/28/e9fd0009-1659-4bdd-8a18-3546dd42f5f9/ENCFF020BZY.fastq.gz	c086c67a2e1533f0e61baeb58337d8c1	ENCSR613JAK	missing controlled_by
ENCSR423ZUM	ENCFF528KYU	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6466877	https://encode-public.s3.amazonaws.com/2021/01/28/684b0e32-9b28-4414-966f-75dc5af26da7/ENCFF528KYU.fastq.gz	1b5e1f31df9703b8f6b8baaab6d6639d	ENCSR613JAK	missing controlled_by
ENCSR423ZUM	ENCFF580YAB	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5855891	https://encode-public.s3.amazonaws.com/2021/01/28/1e815b4a-ef57-4a91-9e4d-139baa76c4aa/ENCFF580YAB.fastq.gz	7f5885695fde9cd96568bc6c401cd131	ENCSR613JAK	missing controlled_by
ENCSR423ZUM	ENCFF480EIY	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5892905	https://encode-public.s3.amazonaws.com/2021/01/28/85e1be45-c56b-4fb8-9f6d-eddc0f9c0f68/ENCFF480EIY.fastq.gz	53d405f8bb36bcfa24eb40d1bbb05950	ENCSR613JAK	missing controlled_by
ENCSR423ZUM	ENCFF803JCV	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5900471	https://encode-public.s3.amazonaws.com/2021/01/28/e0687bc6-aaa3-4685-a684-f8be7c9a04d7/ENCFF803JCV.fastq.gz	b2d35a7c1a4e84ae071ed2f1156181fc	ENCSR613JAK	missing controlled_by
ENCSR423ZUM	ENCFF766KXY	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5988073	https://encode-public.s3.amazonaws.com/2021/01/28/593bc2ee-0495-4f45-a287-3fa5fa219c61/ENCFF766KXY.fastq.gz	c339fed8be2a17359e4087dd81bdda65	ENCSR613JAK	missing controlled_by
ENCSR763FNU	ENCFF869OUS	CGGBP1	K562	 K562 cell,K-562,K-562 cell	1	1_1	1	100	paired-ended	62297981	https://encode-public.s3.amazonaws.com/2021/03/22/378352c6-ed14-41c3-8da1-5f985580d87d/ENCFF869OUS.fastq.gz	2f8e701f319522bf876a6db1d95ada38	ENCSR334KTB	mild to moderate bottlenecking
ENCSR763FNU	ENCFF617WJD	CGGBP1	K562	 K562 cell,K-562,K-562 cell	1	1_1	2	100	paired-ended	62297981	https://encode-public.s3.amazonaws.com/2021/03/22/dd4527b1-d051-4f89-ada0-1d93f7563ad4/ENCFF617WJD.fastq.gz	1ba2f51eade373a7f78e32c9da63333e	ENCSR334KTB	mild to moderate bottlenecking
ENCSR763FNU	ENCFF042YLY	CGGBP1	K562	 K562 cell,K-562,K-562 cell	2	2_1	1	100	paired-ended	56886677	https://encode-public.s3.amazonaws.com/2021/03/22/cc8c6313-b677-43d9-8a0a-094e08fa2c34/ENCFF042YLY.fastq.gz	b7aaab49872e43448cc073d21e4325a3	ENCSR334KTB	mild to moderate bottlenecking
ENCSR763FNU	ENCFF963OHF	CGGBP1	K562	 K562 cell,K-562,K-562 cell	2	2_1	2	100	paired-ended	56886677	https://encode-public.s3.amazonaws.com/2021/03/22/09f09b59-6629-4e00-bdde-52c8c7f42fe0/ENCFF963OHF.fastq.gz	f690beb874d8d2fd12f9c05a943b3173	ENCSR334KTB	mild to moderate bottlenecking
ENCSR168KQC	ENCFF467XTS	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5903932	https://encode-public.s3.amazonaws.com/2021/01/28/ffbbdf34-177d-4b48-b5cd-6d4cf32a79b4/ENCFF467XTS.fastq.gz	3622a043cbf4e032f68f46c98afca983	ENCSR258GSA	missing controlled_by
ENCSR168KQC	ENCFF515XBW	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5902232	https://encode-public.s3.amazonaws.com/2021/01/28/b7160702-0b10-4b44-a808-845187288a94/ENCFF515XBW.fastq.gz	91069885637216e55d04f014dde2b3dd	ENCSR258GSA	missing controlled_by
ENCSR168KQC	ENCFF160RVU	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5911764	https://encode-public.s3.amazonaws.com/2021/01/28/5d41871f-1460-4e9e-b72a-94ff1339e18f/ENCFF160RVU.fastq.gz	e0b425f9b0170eeec836aed911ffd3cf	ENCSR258GSA	missing controlled_by
ENCSR168KQC	ENCFF796CUN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5881734	https://encode-public.s3.amazonaws.com/2021/01/28/efeb1c72-2e30-422c-a3eb-ef821834cac9/ENCFF796CUN.fastq.gz	c4a76f4e380588fdf58b45330cb2b00c	ENCSR258GSA	missing controlled_by
ENCSR168KQC	ENCFF745CQN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5840809	https://encode-public.s3.amazonaws.com/2021/01/28/d4739fd3-817b-4a3d-ae1e-c14882fbab5b/ENCFF745CQN.fastq.gz	d6786b36adddd561558763510bd501b8	ENCSR258GSA	missing controlled_by
ENCSR168KQC	ENCFF978JHN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5912032	https://encode-public.s3.amazonaws.com/2021/01/28/79051793-9a9c-4f9e-aa2e-e56c62d03d75/ENCFF978JHN.fastq.gz	20fb4f38e40cbb644981bd64aee1007e	ENCSR258GSA	missing controlled_by
ENCSR168KQC	ENCFF917WPM	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5801517	https://encode-public.s3.amazonaws.com/2021/01/28/79bfbe3c-2350-41c8-be58-5ad12604270c/ENCFF917WPM.fastq.gz	22808df12ea1c3ecb7e8bb48923b5e70	ENCSR258GSA	missing controlled_by
ENCSR168KQC	ENCFF598PED	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5809839	https://encode-public.s3.amazonaws.com/2021/01/28/46ddc3c3-e084-455e-9752-80e1cad79c84/ENCFF598PED.fastq.gz	f76e5c7add3f0f4760797a5f7cb92a71	ENCSR258GSA	missing controlled_by
ENCSR445NJB	ENCFF006JJB	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	7951058	https://encode-public.s3.amazonaws.com/2021/01/28/e6d4fb39-eab7-4e82-8b77-84ceb04aa6ee/ENCFF006JJB.fastq.gz	c7eb5b66820b0abe3a106eae31c2f2a6	ENCSR518COE	missing controlled_by
ENCSR445NJB	ENCFF098DFH	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8075872	https://encode-public.s3.amazonaws.com/2021/01/28/8d900829-f63b-4923-9853-a354b957d440/ENCFF098DFH.fastq.gz	3eaef60fa8f30d098cbe62719b2ab78b	ENCSR518COE	missing controlled_by
ENCSR445NJB	ENCFF157GPB	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	7945836	https://encode-public.s3.amazonaws.com/2021/01/28/271e0304-d2c1-43cb-8089-8990dcfac345/ENCFF157GPB.fastq.gz	d763f7eff7fa81b6fdbce1e21c7b4475	ENCSR518COE	missing controlled_by
ENCSR445NJB	ENCFF308YXX	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	7912493	https://encode-public.s3.amazonaws.com/2021/01/28/9604ed15-5c6d-452f-9c60-53fb94f7a33a/ENCFF308YXX.fastq.gz	eeee4ba679327bc5679390814b4021be	ENCSR518COE	missing controlled_by
ENCSR445NJB	ENCFF654NTK	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7636903	https://encode-public.s3.amazonaws.com/2021/01/28/1523e649-8541-4cd4-9754-4a7be139d5dd/ENCFF654NTK.fastq.gz	9d3b3b141a377b0e812d63deceb94cc7	ENCSR518COE	missing controlled_by
ENCSR445NJB	ENCFF174GYN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7763502	https://encode-public.s3.amazonaws.com/2021/01/28/81404496-241d-4aed-b398-5b20ff81ecef/ENCFF174GYN.fastq.gz	ffd805e596f5bbfe49c4b939ab254a60	ENCSR518COE	missing controlled_by
ENCSR445NJB	ENCFF553NJS	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7770461	https://encode-public.s3.amazonaws.com/2021/01/28/27c3d9ba-a233-4b81-bfa3-b2796151f4dc/ENCFF553NJS.fastq.gz	3961a0655c50ea689984471c07e789dd	ENCSR518COE	missing controlled_by
ENCSR445NJB	ENCFF034IRJ	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7720159	https://encode-public.s3.amazonaws.com/2021/01/28/0b47a491-ac5c-4e35-b021-994f84704acc/ENCFF034IRJ.fastq.gz	1e61dd90f3821a9a58b6c9ec2781aa4e	ENCSR518COE	missing controlled_by
ENCSR852BLA	ENCFF465RQK	CTCF	pancreas		1	1_1	1	76	single-ended	5890575	https://encode-public.s3.amazonaws.com/2021/01/28/be84888b-40bc-4110-9fa2-d6c4016eb861/ENCFF465RQK.fastq.gz	311e41724bea3f9bfc3f87ab2ebe94a9	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR852BLA	ENCFF592DZQ	CTCF	pancreas		1	1_1	1	76	single-ended	5918140	https://encode-public.s3.amazonaws.com/2021/01/28/5b860b6c-c4b1-4aee-ac96-142bab5b3147/ENCFF592DZQ.fastq.gz	57bfb7fe262583a9398c0bf8c7358976	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR852BLA	ENCFF850TFJ	CTCF	pancreas		1	1_1	1	76	single-ended	5709260	https://encode-public.s3.amazonaws.com/2021/01/28/ae2b2d5c-54f9-43dd-834f-015a256c1d8d/ENCFF850TFJ.fastq.gz	ba4b43006b791f32401b400a17e42719	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR852BLA	ENCFF404KND	CTCF	pancreas		1	1_1	1	76	single-ended	5914817	https://encode-public.s3.amazonaws.com/2021/01/28/7ab99f31-401c-4616-8d9b-9f7b7af7786c/ENCFF404KND.fastq.gz	943689381a4c007997561061733f80c9	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR852BLA	ENCFF586KSM	CTCF	pancreas		1	1_2	1	76	single-ended	8459120	https://encode-public.s3.amazonaws.com/2021/01/28/40550bca-f5ef-418d-9291-13c67f0f50fe/ENCFF586KSM.fastq.gz	79dc694518f46871bd0534abfc8861e7	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR852BLA	ENCFF471HPJ	CTCF	pancreas		1	1_2	1	76	single-ended	8340610	https://encode-public.s3.amazonaws.com/2021/01/28/b9fb1db7-aea8-4c6b-a263-bef1525bea71/ENCFF471HPJ.fastq.gz	91c4318bafdbfd60f4155bffc6fe2eaa	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR852BLA	ENCFF727BAT	CTCF	pancreas		1	1_2	1	76	single-ended	8489519	https://encode-public.s3.amazonaws.com/2021/01/28/dc9b8a21-b954-4652-abe2-25012cc76a35/ENCFF727BAT.fastq.gz	e25bd14f31908d70044e0c2f7cd2810f	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR852BLA	ENCFF346UXE	CTCF	pancreas		1	1_2	1	76	single-ended	8535013	https://encode-public.s3.amazonaws.com/2021/01/28/90f1ef02-4b23-4fc2-a823-ee79729db7b7/ENCFF346UXE.fastq.gz	0309d2d439ef2982a287c0e81d6ffa75	ENCSR067CHO	antibody characterized with exemption,missing controlled_by
ENCSR813KUE	ENCFF203WOI	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8517444	https://encode-public.s3.amazonaws.com/2021/01/28/28b8945b-0bd0-491b-8ebf-b39cf548ee2b/ENCFF203WOI.fastq.gz	147e1f740404847ace5caa1a2719d176	ENCSR086BNR	missing controlled_by
ENCSR813KUE	ENCFF521VIX	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8379846	https://encode-public.s3.amazonaws.com/2021/01/28/de284b4c-6ddb-406c-a0f7-a18939c91f69/ENCFF521VIX.fastq.gz	81f543ca50fbfb35940b15c694030f91	ENCSR086BNR	missing controlled_by
ENCSR813KUE	ENCFF879NMD	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6365492	https://encode-public.s3.amazonaws.com/2021/01/28/5d1719fe-725b-4a2e-ad25-96c641fe11c8/ENCFF879NMD.fastq.gz	82e1565a7c2a1de05eaeb10bffbd5de6	ENCSR086BNR	missing controlled_by
ENCSR813KUE	ENCFF106UFV	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6544068	https://encode-public.s3.amazonaws.com/2021/01/28/ca09884c-4053-40da-808a-0bc7dafa4d82/ENCFF106UFV.fastq.gz	64bd8740e39fc6bad1c897b0dc1f8f1d	ENCSR086BNR	missing controlled_by
ENCSR813KUE	ENCFF897JSQ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8509552	https://encode-public.s3.amazonaws.com/2021/01/28/294fce2e-40f0-4417-b6b5-5533dc58fb1e/ENCFF897JSQ.fastq.gz	e5c4e5a711a794277034bf6947413ba8	ENCSR086BNR	missing controlled_by
ENCSR813KUE	ENCFF884ZFQ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8442832	https://encode-public.s3.amazonaws.com/2021/01/28/c6a92479-a01a-4167-a2e9-11d068425ca1/ENCFF884ZFQ.fastq.gz	4cb0bc5bf3640cc28a09e55deb453e0b	ENCSR086BNR	missing controlled_by
ENCSR813KUE	ENCFF422GVK	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6450184	https://encode-public.s3.amazonaws.com/2021/01/28/5d12b2af-4042-4340-8451-fb7322dd745c/ENCFF422GVK.fastq.gz	77de68dab6f6c588b13586ed8ba8b80a	ENCSR086BNR	missing controlled_by
ENCSR813KUE	ENCFF282XRJ	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6550477	https://encode-public.s3.amazonaws.com/2021/01/28/d93c91c7-2dc8-4469-919a-c80c7d3f26a8/ENCFF282XRJ.fastq.gz	0a0457e192f3dcee1ce099cfc01dd958	ENCSR086BNR	missing controlled_by
ENCSR512ECF	ENCFF280RFU	ZNF142	HepG2	HepG2 cell,Hep-G2	1	1_1	1	75	single-ended	30027698	https://encode-public.s3.amazonaws.com/2018/08/02/55457e9c-72d2-4cf7-9f50-b7050fb55a01/ENCFF280RFU.fastq.gz	6b7e7c8177361971e420ce3b41951ab3	ENCSR020QUJ	missing genetic modification reagents
ENCSR512ECF	ENCFF343HVO	ZNF142	HepG2	HepG2 cell,Hep-G2	2	2_1	1	75	single-ended	32961551	https://encode-public.s3.amazonaws.com/2018/08/02/a1bdf682-58e8-46ea-8c9f-9b651f82db6d/ENCFF343HVO.fastq.gz	2c6427cf57753c570b1df9ecc3b39c12	ENCSR020QUJ	missing genetic modification reagents
ENCSR322ULL	ENCFF218TXW	ZBTB7B	HepG2	HepG2 cell,Hep-G2	1	1_1	1	75	single-ended	31499077	https://encode-public.s3.amazonaws.com/2018/08/02/29005d23-c7c2-4ed6-ad39-3f8a677fe357/ENCFF218TXW.fastq.gz	7502ef35148a4ae9a46d847a87aa5148	ENCSR239QGH	missing genetic modification reagents
ENCSR322ULL	ENCFF161RCI	ZBTB7B	HepG2	HepG2 cell,Hep-G2	2	2_1	1	75	single-ended	38691757	https://encode-public.s3.amazonaws.com/2018/08/02/5cfbbdda-2c2d-4337-889e-f37747f99c69/ENCFF161RCI.fastq.gz	37461d30da0ae2cf882d53eaeda840ea	ENCSR239QGH	missing genetic modification reagents
ENCSR935GZV	ENCFF062IKU	NFYB	HepG2	HepG2 cell,Hep-G2	1	1_1	1	75	single-ended	35101902	https://encode-public.s3.amazonaws.com/2018/08/02/6f0b10fd-4364-4d26-95a4-945e4d2ec712/ENCFF062IKU.fastq.gz	880d8043f942af7448e45114ab638678	ENCSR239QGH	missing genetic modification reagents
ENCSR935GZV	ENCFF791UHQ	NFYB	HepG2	HepG2 cell,Hep-G2	2	2_1	1	75	single-ended	31854744	https://encode-public.s3.amazonaws.com/2018/08/02/a5143a9c-fecd-4bdc-8964-40460994b2d5/ENCFF791UHQ.fastq.gz	60d24311b259d305018eb723ead9e44a	ENCSR239QGH	missing genetic modification reagents
ENCSR335SUD	ENCFF273NSL	ZNF436	K562	 K562 cell,K-562,K-562 cell	1	1_2	1	100	paired-ended	41335327	https://encode-public.s3.amazonaws.com/2021/02/17/bb486e38-4396-4f58-b019-086839007f4c/ENCFF273NSL.fastq.gz	4d491b66c8820f8badb58154a3d7d2ac	ENCSR695PSG,ENCSR328FYU	mild to moderate bottlenecking
ENCSR335SUD	ENCFF453MHY	ZNF436	K562	 K562 cell,K-562,K-562 cell	1	1_2	2	100	paired-ended	41335327	https://encode-public.s3.amazonaws.com/2021/02/17/eeebf62b-1344-4b72-a6ff-973d7bcd6923/ENCFF453MHY.fastq.gz	c4b7aaf55dd902f742f271c6e25bf40f	ENCSR695PSG,ENCSR328FYU	mild to moderate bottlenecking
ENCSR335SUD	ENCFF098TNA	ZNF436	K562	 K562 cell,K-562,K-562 cell	2	2_2	1	100	paired-ended	47241866	https://encode-public.s3.amazonaws.com/2021/02/17/c87e0b1d-5c20-4698-8845-89bb15381c40/ENCFF098TNA.fastq.gz	f1d505fcfa761c6e48022ec739c98ab0	ENCSR695PSG,ENCSR328FYU	mild to moderate bottlenecking
ENCSR335SUD	ENCFF993FWQ	ZNF436	K562	 K562 cell,K-562,K-562 cell	2	2_2	2	100	paired-ended	47241866	https://encode-public.s3.amazonaws.com/2021/02/17/18a53a49-1b6e-43a8-b4ab-13f07d1c7543/ENCFF993FWQ.fastq.gz	52ed230596e88b64ea91b3402b8a36e6	ENCSR695PSG,ENCSR328FYU	mild to moderate bottlenecking
ENCSR136OFY	ENCFF921YAV	NR2F1	HepG2	HepG2 cell,Hep-G2	2	2_1	1	101	paired-ended	42902233	https://encode-public.s3.amazonaws.com/2018/01/13/de60fce6-e406-44b2-a38c-07382a1976ed/ENCFF921YAV.fastq.gz	456f9085124841754fd9385af3281973	ENCSR387ACQ,ENCSR592WMK	mild to moderate bottlenecking,moderate library complexity
ENCSR136OFY	ENCFF433ZBN	NR2F1	HepG2	HepG2 cell,Hep-G2	2	2_1	2	101	paired-ended	42902233	https://encode-public.s3.amazonaws.com/2018/01/13/624322d9-a7db-4062-8e39-dd5a88a8954b/ENCFF433ZBN.fastq.gz	8f487ca5426cad2d2ae712b1cdd0e9b7	ENCSR387ACQ,ENCSR592WMK	mild to moderate bottlenecking,moderate library complexity
ENCSR136OFY	ENCFF564LRC	NR2F1	HepG2	HepG2 cell,Hep-G2	1	1_1	1	101	paired-ended	50118762	https://encode-public.s3.amazonaws.com/2018/01/13/771e539e-eb5b-46e9-b112-906cd10e52ee/ENCFF564LRC.fastq.gz	debeb3fc9c562f1fbdab380ce2461aa0	ENCSR387ACQ,ENCSR592WMK	mild to moderate bottlenecking,moderate library complexity
ENCSR136OFY	ENCFF669JTY	NR2F1	HepG2	HepG2 cell,Hep-G2	1	1_1	2	101	paired-ended	50118762	https://encode-public.s3.amazonaws.com/2018/01/13/5b1e0be3-2b0d-44bf-9c25-7baa7f4e54d0/ENCFF669JTY.fastq.gz	960ee943d236bf339a3028386a981b5e	ENCSR387ACQ,ENCSR592WMK	mild to moderate bottlenecking,moderate library complexity
