exp	acc	target	biosample	synonyms	biorep	techrep	read	read_length	run_type	read_count	url	md5sum	controls
ENCSR423ZUM	ENCFF020BZY	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6347407	https://encode-public.s3.amazonaws.com/2021/01/28/e9fd0009-1659-4bdd-8a18-3546dd42f5f9/ENCFF020BZY.fastq.gz	c086c67a2e1533f0e61baeb58337d8c1	ENCSR613JAK
ENCSR423ZUM	ENCFF528KYU	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6466877	https://encode-public.s3.amazonaws.com/2021/01/28/684b0e32-9b28-4414-966f-75dc5af26da7/ENCFF528KYU.fastq.gz	1b5e1f31df9703b8f6b8baaab6d6639d	ENCSR613JAK
ENCSR423ZUM	ENCFF580YAB	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5855891	https://encode-public.s3.amazonaws.com/2021/01/28/1e815b4a-ef57-4a91-9e4d-139baa76c4aa/ENCFF580YAB.fastq.gz	7f5885695fde9cd96568bc6c401cd131	ENCSR613JAK
ENCSR423ZUM	ENCFF480EIY	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5892905	https://encode-public.s3.amazonaws.com/2021/01/28/85e1be45-c56b-4fb8-9f6d-eddc0f9c0f68/ENCFF480EIY.fastq.gz	53d405f8bb36bcfa24eb40d1bbb05950	ENCSR613JAK
ENCSR423ZUM	ENCFF803JCV	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5900471	https://encode-public.s3.amazonaws.com/2021/01/28/e0687bc6-aaa3-4685-a684-f8be7c9a04d7/ENCFF803JCV.fastq.gz	b2d35a7c1a4e84ae071ed2f1156181fc	ENCSR613JAK
ENCSR423ZUM	ENCFF766KXY	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5988073	https://encode-public.s3.amazonaws.com/2021/01/28/593bc2ee-0495-4f45-a287-3fa5fa219c61/ENCFF766KXY.fastq.gz	c339fed8be2a17359e4087dd81bdda65	ENCSR613JAK
ENCSR168KQC	ENCFF467XTS	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5903932	https://encode-public.s3.amazonaws.com/2021/01/28/ffbbdf34-177d-4b48-b5cd-6d4cf32a79b4/ENCFF467XTS.fastq.gz	3622a043cbf4e032f68f46c98afca983	ENCSR258GSA
ENCSR168KQC	ENCFF515XBW	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5902232	https://encode-public.s3.amazonaws.com/2021/01/28/b7160702-0b10-4b44-a808-845187288a94/ENCFF515XBW.fastq.gz	91069885637216e55d04f014dde2b3dd	ENCSR258GSA
ENCSR168KQC	ENCFF160RVU	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5911764	https://encode-public.s3.amazonaws.com/2021/01/28/5d41871f-1460-4e9e-b72a-94ff1339e18f/ENCFF160RVU.fastq.gz	e0b425f9b0170eeec836aed911ffd3cf	ENCSR258GSA
ENCSR168KQC	ENCFF796CUN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5881734	https://encode-public.s3.amazonaws.com/2021/01/28/efeb1c72-2e30-422c-a3eb-ef821834cac9/ENCFF796CUN.fastq.gz	c4a76f4e380588fdf58b45330cb2b00c	ENCSR258GSA
ENCSR168KQC	ENCFF745CQN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5840809	https://encode-public.s3.amazonaws.com/2021/01/28/d4739fd3-817b-4a3d-ae1e-c14882fbab5b/ENCFF745CQN.fastq.gz	d6786b36adddd561558763510bd501b8	ENCSR258GSA
ENCSR168KQC	ENCFF978JHN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5912032	https://encode-public.s3.amazonaws.com/2021/01/28/79051793-9a9c-4f9e-aa2e-e56c62d03d75/ENCFF978JHN.fastq.gz	20fb4f38e40cbb644981bd64aee1007e	ENCSR258GSA
ENCSR168KQC	ENCFF917WPM	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5801517	https://encode-public.s3.amazonaws.com/2021/01/28/79bfbe3c-2350-41c8-be58-5ad12604270c/ENCFF917WPM.fastq.gz	22808df12ea1c3ecb7e8bb48923b5e70	ENCSR258GSA
ENCSR168KQC	ENCFF598PED	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5809839	https://encode-public.s3.amazonaws.com/2021/01/28/46ddc3c3-e084-455e-9752-80e1cad79c84/ENCFF598PED.fastq.gz	f76e5c7add3f0f4760797a5f7cb92a71	ENCSR258GSA
ENCSR445NJB	ENCFF006JJB	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	7951058	https://encode-public.s3.amazonaws.com/2021/01/28/e6d4fb39-eab7-4e82-8b77-84ceb04aa6ee/ENCFF006JJB.fastq.gz	c7eb5b66820b0abe3a106eae31c2f2a6	ENCSR518COE
ENCSR445NJB	ENCFF098DFH	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8075872	https://encode-public.s3.amazonaws.com/2021/01/28/8d900829-f63b-4923-9853-a354b957d440/ENCFF098DFH.fastq.gz	3eaef60fa8f30d098cbe62719b2ab78b	ENCSR518COE
ENCSR445NJB	ENCFF157GPB	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	7945836	https://encode-public.s3.amazonaws.com/2021/01/28/271e0304-d2c1-43cb-8089-8990dcfac345/ENCFF157GPB.fastq.gz	d763f7eff7fa81b6fdbce1e21c7b4475	ENCSR518COE
ENCSR445NJB	ENCFF308YXX	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	7912493	https://encode-public.s3.amazonaws.com/2021/01/28/9604ed15-5c6d-452f-9c60-53fb94f7a33a/ENCFF308YXX.fastq.gz	eeee4ba679327bc5679390814b4021be	ENCSR518COE
ENCSR445NJB	ENCFF654NTK	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7636903	https://encode-public.s3.amazonaws.com/2021/01/28/1523e649-8541-4cd4-9754-4a7be139d5dd/ENCFF654NTK.fastq.gz	9d3b3b141a377b0e812d63deceb94cc7	ENCSR518COE
ENCSR445NJB	ENCFF174GYN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7763502	https://encode-public.s3.amazonaws.com/2021/01/28/81404496-241d-4aed-b398-5b20ff81ecef/ENCFF174GYN.fastq.gz	ffd805e596f5bbfe49c4b939ab254a60	ENCSR518COE
ENCSR445NJB	ENCFF553NJS	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7770461	https://encode-public.s3.amazonaws.com/2021/01/28/27c3d9ba-a233-4b81-bfa3-b2796151f4dc/ENCFF553NJS.fastq.gz	3961a0655c50ea689984471c07e789dd	ENCSR518COE
ENCSR445NJB	ENCFF034IRJ	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	7720159	https://encode-public.s3.amazonaws.com/2021/01/28/0b47a491-ac5c-4e35-b021-994f84704acc/ENCFF034IRJ.fastq.gz	1e61dd90f3821a9a58b6c9ec2781aa4e	ENCSR518COE
ENCSR852BLA	ENCFF465RQK	CTCF	pancreas		1	1_1	1	76	single-ended	5890575	https://encode-public.s3.amazonaws.com/2021/01/28/be84888b-40bc-4110-9fa2-d6c4016eb861/ENCFF465RQK.fastq.gz	311e41724bea3f9bfc3f87ab2ebe94a9	ENCSR067CHO
ENCSR852BLA	ENCFF592DZQ	CTCF	pancreas		1	1_1	1	76	single-ended	5918140	https://encode-public.s3.amazonaws.com/2021/01/28/5b860b6c-c4b1-4aee-ac96-142bab5b3147/ENCFF592DZQ.fastq.gz	57bfb7fe262583a9398c0bf8c7358976	ENCSR067CHO
ENCSR852BLA	ENCFF850TFJ	CTCF	pancreas		1	1_1	1	76	single-ended	5709260	https://encode-public.s3.amazonaws.com/2021/01/28/ae2b2d5c-54f9-43dd-834f-015a256c1d8d/ENCFF850TFJ.fastq.gz	ba4b43006b791f32401b400a17e42719	ENCSR067CHO
ENCSR852BLA	ENCFF404KND	CTCF	pancreas		1	1_1	1	76	single-ended	5914817	https://encode-public.s3.amazonaws.com/2021/01/28/7ab99f31-401c-4616-8d9b-9f7b7af7786c/ENCFF404KND.fastq.gz	943689381a4c007997561061733f80c9	ENCSR067CHO
ENCSR852BLA	ENCFF586KSM	CTCF	pancreas		1	1_2	1	76	single-ended	8459120	https://encode-public.s3.amazonaws.com/2021/01/28/40550bca-f5ef-418d-9291-13c67f0f50fe/ENCFF586KSM.fastq.gz	79dc694518f46871bd0534abfc8861e7	ENCSR067CHO
ENCSR852BLA	ENCFF471HPJ	CTCF	pancreas		1	1_2	1	76	single-ended	8340610	https://encode-public.s3.amazonaws.com/2021/01/28/b9fb1db7-aea8-4c6b-a263-bef1525bea71/ENCFF471HPJ.fastq.gz	91c4318bafdbfd60f4155bffc6fe2eaa	ENCSR067CHO
ENCSR852BLA	ENCFF727BAT	CTCF	pancreas		1	1_2	1	76	single-ended	8489519	https://encode-public.s3.amazonaws.com/2021/01/28/dc9b8a21-b954-4652-abe2-25012cc76a35/ENCFF727BAT.fastq.gz	e25bd14f31908d70044e0c2f7cd2810f	ENCSR067CHO
ENCSR852BLA	ENCFF346UXE	CTCF	pancreas		1	1_2	1	76	single-ended	8535013	https://encode-public.s3.amazonaws.com/2021/01/28/90f1ef02-4b23-4fc2-a823-ee79729db7b7/ENCFF346UXE.fastq.gz	0309d2d439ef2982a287c0e81d6ffa75	ENCSR067CHO
ENCSR813KUE	ENCFF203WOI	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8517444	https://encode-public.s3.amazonaws.com/2021/01/28/28b8945b-0bd0-491b-8ebf-b39cf548ee2b/ENCFF203WOI.fastq.gz	147e1f740404847ace5caa1a2719d176	ENCSR086BNR
ENCSR813KUE	ENCFF521VIX	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8379846	https://encode-public.s3.amazonaws.com/2021/01/28/de284b4c-6ddb-406c-a0f7-a18939c91f69/ENCFF521VIX.fastq.gz	81f543ca50fbfb35940b15c694030f91	ENCSR086BNR
ENCSR813KUE	ENCFF879NMD	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6365492	https://encode-public.s3.amazonaws.com/2021/01/28/5d1719fe-725b-4a2e-ad25-96c641fe11c8/ENCFF879NMD.fastq.gz	82e1565a7c2a1de05eaeb10bffbd5de6	ENCSR086BNR
ENCSR813KUE	ENCFF106UFV	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6544068	https://encode-public.s3.amazonaws.com/2021/01/28/ca09884c-4053-40da-808a-0bc7dafa4d82/ENCFF106UFV.fastq.gz	64bd8740e39fc6bad1c897b0dc1f8f1d	ENCSR086BNR
ENCSR813KUE	ENCFF897JSQ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8509552	https://encode-public.s3.amazonaws.com/2021/01/28/294fce2e-40f0-4417-b6b5-5533dc58fb1e/ENCFF897JSQ.fastq.gz	e5c4e5a711a794277034bf6947413ba8	ENCSR086BNR
ENCSR813KUE	ENCFF884ZFQ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	8442832	https://encode-public.s3.amazonaws.com/2021/01/28/c6a92479-a01a-4167-a2e9-11d068425ca1/ENCFF884ZFQ.fastq.gz	4cb0bc5bf3640cc28a09e55deb453e0b	ENCSR086BNR
ENCSR813KUE	ENCFF422GVK	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6450184	https://encode-public.s3.amazonaws.com/2021/01/28/5d12b2af-4042-4340-8451-fb7322dd745c/ENCFF422GVK.fastq.gz	77de68dab6f6c588b13586ed8ba8b80a	ENCSR086BNR
ENCSR813KUE	ENCFF282XRJ	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	6550477	https://encode-public.s3.amazonaws.com/2021/01/28/d93c91c7-2dc8-4469-919a-c80c7d3f26a8/ENCFF282XRJ.fastq.gz	0a0457e192f3dcee1ce099cfc01dd958	ENCSR086BNR
ENCSR689LFJ	ENCFF914BEE	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6797595	https://encode-public.s3.amazonaws.com/2021/04/30/c2c46cbd-d81f-41d0-b0bb-c80153c5a889/ENCFF914BEE.fastq.gz	2dcbd454da0717c0403da84e5029b4e4	ENCSR845BPQ
ENCSR689LFJ	ENCFF455KAP	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6707354	https://encode-public.s3.amazonaws.com/2021/04/30/79f3b79a-4370-4386-a921-5843789a6faa/ENCFF455KAP.fastq.gz	e4993e3c423bf304c84f33d5c9c7f9aa	ENCSR845BPQ
ENCSR689LFJ	ENCFF121UPD	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6666028	https://encode-public.s3.amazonaws.com/2021/04/30/675eb192-3438-47b1-98a2-09616ee53269/ENCFF121UPD.fastq.gz	1ee2503f39a5d963034c65fcdb352994	ENCSR845BPQ
ENCSR689LFJ	ENCFF834UNL	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6672395	https://encode-public.s3.amazonaws.com/2021/04/30/ba136394-795a-44ea-8b53-d2514278680a/ENCFF834UNL.fastq.gz	6b5b7eeb66fea870caeeedf47e4170ea	ENCSR845BPQ
ENCSR689LFJ	ENCFF009ZEK	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5709562	https://encode-public.s3.amazonaws.com/2021/04/30/1703fafe-d686-44f5-bfb7-1298bbe8a821/ENCFF009ZEK.fastq.gz	8a69c67bd0643d3b2a93f815e2f64360	ENCSR845BPQ
ENCSR689LFJ	ENCFF669MGE	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5844882	https://encode-public.s3.amazonaws.com/2021/04/30/381a8853-0b00-4b68-8774-0754f99cada7/ENCFF669MGE.fastq.gz	4b3cc2f246fab43e9e08968ffe2bb735	ENCSR845BPQ
ENCSR689LFJ	ENCFF926XXC	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5659081	https://encode-public.s3.amazonaws.com/2021/04/30/406eb8e3-7678-491b-a95c-e03e21c8a469/ENCFF926XXC.fastq.gz	e6c68e16fc12637a81e4bf234f27a66f	ENCSR845BPQ
ENCSR689LFJ	ENCFF585EED	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	5773233	https://encode-public.s3.amazonaws.com/2021/04/30/242bd703-5703-490d-80e7-443260cbe171/ENCFF585EED.fastq.gz	0abc5ee9922218b9bdaf72673f716d17	ENCSR845BPQ
ENCSR575WYM	ENCFF045VXR	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6982299	https://encode-public.s3.amazonaws.com/2021/04/30/bfbff815-f96b-45e3-a5f3-6a6631913699/ENCFF045VXR.fastq.gz	20e17a6dd77c83f035d6f220800086f6	ENCSR770XRC
ENCSR575WYM	ENCFF300XVE	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6893865	https://encode-public.s3.amazonaws.com/2021/04/30/b122e44c-a654-474b-b431-a242b8776c75/ENCFF300XVE.fastq.gz	c1c2a42ba68774ff33c8a45692d40a54	ENCSR770XRC
ENCSR575WYM	ENCFF996PRM	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6890038	https://encode-public.s3.amazonaws.com/2021/04/30/0fa28d63-a269-4db1-829e-d2d70da0a92b/ENCFF996PRM.fastq.gz	8ee0e6dcab208b37bf57b3bb3280817e	ENCSR770XRC
ENCSR575WYM	ENCFF664XVK	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6881552	https://encode-public.s3.amazonaws.com/2021/04/30/a3dac342-7682-4295-8025-b825d1027114/ENCFF664XVK.fastq.gz	630adec29a8c8376e04598f16a9b8c4f	ENCSR770XRC
ENCSR575WYM	ENCFF418ERL	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	2772462	https://encode-public.s3.amazonaws.com/2021/04/30/8a793132-60c0-4637-8f57-9e8b8130910f/ENCFF418ERL.fastq.gz	441c05e8bc6a2a507c9bcb4101100b13	ENCSR770XRC
ENCSR575WYM	ENCFF657UFM	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	2833888	https://encode-public.s3.amazonaws.com/2021/04/30/f6f262a9-e406-4c14-8b0b-9d02aa0fff4b/ENCFF657UFM.fastq.gz	74c69a6037db0417d17a4c03782e0368	ENCSR770XRC
ENCSR575WYM	ENCFF171MWH	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	2751843	https://encode-public.s3.amazonaws.com/2021/04/30/fd5c35b5-1e47-4c22-aa87-c163c797aba5/ENCFF171MWH.fastq.gz	186b1a0f0107fee594228b53ce687aef	ENCSR770XRC
ENCSR575WYM	ENCFF155LBA	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	2805996	https://encode-public.s3.amazonaws.com/2021/04/30/92133c6b-cd33-424b-9906-050deba5babf/ENCFF155LBA.fastq.gz	2e6d8041cf18d7a9d2b665085bc8ddd7	ENCSR770XRC
ENCSR374PKX	ENCFF744HGD	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5292024	https://encode-public.s3.amazonaws.com/2021/04/30/7717c783-9eaf-4a5a-a8e9-c4e934ffefa8/ENCFF744HGD.fastq.gz	e64d94479b4da5966b23370539ec2fee	ENCSR772LYM
ENCSR374PKX	ENCFF273MLU	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5206906	https://encode-public.s3.amazonaws.com/2021/04/30/b195c862-041c-4116-a7dd-8413f6443443/ENCFF273MLU.fastq.gz	60bd3265e8f02756f72fd7b10ada78c1	ENCSR772LYM
ENCSR374PKX	ENCFF141ZBD	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5202898	https://encode-public.s3.amazonaws.com/2021/04/30/f3929a0b-983b-45f9-ad03-542c645f562c/ENCFF141ZBD.fastq.gz	4512d6d278f15f22f3bcc646a128439e	ENCSR772LYM
ENCSR374PKX	ENCFF950AEY	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4927105	https://encode-public.s3.amazonaws.com/2021/04/30/ad946ab8-f662-4432-a1f2-c10ecf6de422/ENCFF950AEY.fastq.gz	8e5d0a934f15d391164b85f67a633e7b	ENCSR772LYM
ENCSR374PKX	ENCFF472KGZ	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4890447	https://encode-public.s3.amazonaws.com/2021/04/30/08319971-6eb9-4f6f-9d35-ca059a3535e3/ENCFF472KGZ.fastq.gz	aeae4cfcbb5379e5643c236bce3ab010	ENCSR772LYM
ENCSR374PKX	ENCFF800KWR	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5128293	https://encode-public.s3.amazonaws.com/2021/04/30/36ed43f6-6811-4ae6-96a7-4718022c36f0/ENCFF800KWR.fastq.gz	b4c0b568b6c5dbaa57d6b32f1326f179	ENCSR772LYM
ENCSR374PKX	ENCFF885XZY	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4898135	https://encode-public.s3.amazonaws.com/2021/04/30/4e58f6e7-64bf-435c-97c8-d433fe8c3233/ENCFF885XZY.fastq.gz	8f41c76b907a3969df14491ea6192d44	ENCSR772LYM
ENCSR374PKX	ENCFF712FVT	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4947055	https://encode-public.s3.amazonaws.com/2021/04/30/9285cebb-261a-469c-a589-fa3f0a7be9fa/ENCFF712FVT.fastq.gz	ae68daacf0cb67109c48507a49ea4f82	ENCSR772LYM
ENCSR932XBJ	ENCFF170WYW	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	4211370	https://encode-public.s3.amazonaws.com/2021/04/30/88380038-1c6a-4435-89b3-83c36fc8d38f/ENCFF170WYW.fastq.gz	f0cbf07c41ea66aff79c3a9416570dc8	ENCSR534KYQ
ENCSR932XBJ	ENCFF650EEY	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	4179240	https://encode-public.s3.amazonaws.com/2021/04/30/e19a9a35-fece-47c0-8ad8-09c5b71d8292/ENCFF650EEY.fastq.gz	f23f9577563291661f9443778c65bf7f	ENCSR534KYQ
ENCSR932XBJ	ENCFF721FAU	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	4180281	https://encode-public.s3.amazonaws.com/2021/04/30/dbcc7774-3f05-4d46-aa13-24d10c690e78/ENCFF721FAU.fastq.gz	b694d0953c34658e7374f374c5052995	ENCSR534KYQ
ENCSR932XBJ	ENCFF262DRC	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	4184578	https://encode-public.s3.amazonaws.com/2021/04/30/e965e19c-855b-40db-908d-473728ec82c0/ENCFF262DRC.fastq.gz	9aae94f0b6206db704797bc5a80c480e	ENCSR534KYQ
ENCSR932XBJ	ENCFF011XXT	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4855830	https://encode-public.s3.amazonaws.com/2021/04/30/062c1fd5-4f01-4814-915b-1ab5b156bc32/ENCFF011XXT.fastq.gz	d10c507b67f3b52a16609c180f0f37d4	ENCSR534KYQ
ENCSR932XBJ	ENCFF033ZGR	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4815477	https://encode-public.s3.amazonaws.com/2021/04/30/1e1ab0f2-d678-491c-99ce-9b001f0971c3/ENCFF033ZGR.fastq.gz	7a9884d2d04bc57e49be43c40bb849ba	ENCSR534KYQ
ENCSR932XBJ	ENCFF168EBN	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4826184	https://encode-public.s3.amazonaws.com/2021/04/30/ea85cf9b-6568-45ae-b819-b1a236a9568f/ENCFF168EBN.fastq.gz	52c256461db4f103724254052fa1e14d	ENCSR534KYQ
ENCSR932XBJ	ENCFF004DYO	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4822254	https://encode-public.s3.amazonaws.com/2021/04/30/8b0aae18-7d23-4ae1-a2a5-47b743749ea1/ENCFF004DYO.fastq.gz	d62dbbc8be71426dfed91f16080adf1f	ENCSR534KYQ
ENCSR351SWL	ENCFF195LUG	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5251508	https://encode-public.s3.amazonaws.com/2021/04/30/c1ef7835-4ff3-403a-8f59-c5767edb70e1/ENCFF195LUG.fastq.gz	fe2c69f63e0a3090f8c42d7acff4c387	ENCSR968XKG
ENCSR351SWL	ENCFF500PST	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	3869631	https://encode-public.s3.amazonaws.com/2021/04/30/e2d582f9-8eae-4225-8888-9c40ee29a446/ENCFF500PST.fastq.gz	f00407236e32a0b31802738acc9e25ce	ENCSR968XKG
ENCSR351SWL	ENCFF784WPU	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	3894268	https://encode-public.s3.amazonaws.com/2021/04/30/4c2e7e48-f560-4c49-ae55-addc4d2d4d03/ENCFF784WPU.fastq.gz	fa7a9f23250ba1aa281bc68f3a2fc5e5	ENCSR968XKG
ENCSR351SWL	ENCFF409QYI	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	3894421	https://encode-public.s3.amazonaws.com/2021/04/30/6077e46d-a6cc-4065-8a60-a04aa89d79d7/ENCFF409QYI.fastq.gz	8d6f9bd3fe7a18722da9ebdc2785021d	ENCSR968XKG
ENCSR351SWL	ENCFF249QNU	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	3999165	https://encode-public.s3.amazonaws.com/2021/04/30/ddef89bd-de8c-4995-acea-016ac0aeefa7/ENCFF249QNU.fastq.gz	1aa13d14b5183e11c0b3ffc2e94a0b2e	ENCSR968XKG
ENCSR351SWL	ENCFF261BUP	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5203272	https://encode-public.s3.amazonaws.com/2021/04/30/aeb25116-a842-4a33-b7a0-92f4af8cf421/ENCFF261BUP.fastq.gz	8596d255b55cd3d4a6739a5df885499c	ENCSR968XKG
ENCSR351SWL	ENCFF715YXV	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5274719	https://encode-public.s3.amazonaws.com/2021/04/30/e7a3d5a9-a733-4566-b27c-939aa417b20c/ENCFF715YXV.fastq.gz	6b1a99a38b25ecb895abefa597907e81	ENCSR968XKG
